disease_code,disease_name,region,year,case_count,source
COVID_001,COVID-19,Afghanistan,2020,0,OWID
COVID_001,COVID-19,Afghanistan,2021,0,OWID
COVID_001,COVID-19,Afghanistan,2022,0,OWID
COVID_001,COVID-19,Afghanistan,2023,257,OWID
COVID_001,COVID-19,Afghanistan,2024,0,OWID
COVID_001,COVID-19,Africa,2020,0,OWID
COVID_001,COVID-19,Africa,2021,0,OWID
COVID_001,COVID-19,Africa,2022,0,OWID
COVID_001,COVID-19,Africa,2023,6958,OWID
COVID_001,COVID-19,Africa,2024,0,OWID
COVID_001,COVID-19,Albania,2020,0,OWID
COVID_001,COVID-19,Albania,2021,0,OWID
COVID_001,COVID-19,Albania,2022,0,OWID
COVID_001,COVID-19,Albania,2023,124,OWID
COVID_001,COVID-19,Albania,2024,0,OWID
COVID_001,COVID-19,Algeria,2020,0,OWID
COVID_001,COVID-19,Algeria,2021,0,OWID
COVID_001,COVID-19,Algeria,2022,0,OWID
COVID_001,COVID-19,Algeria,2023,23,OWID
COVID_001,COVID-19,Algeria,2024,0,OWID
COVID_001,COVID-19,American Samoa,2020,0,OWID
COVID_001,COVID-19,American Samoa,2021,0,OWID
COVID_001,COVID-19,American Samoa,2022,0,OWID
COVID_001,COVID-19,American Samoa,2023,19,OWID
COVID_001,COVID-19,American Samoa,2024,0,OWID
COVID_001,COVID-19,Andorra,2020,0,OWID
COVID_001,COVID-19,Andorra,2021,0,OWID
COVID_001,COVID-19,Andorra,2022,0,OWID
COVID_001,COVID-19,Andorra,2023,65,OWID
COVID_001,COVID-19,Andorra,2024,0,OWID
COVID_001,COVID-19,Angola,2020,0,OWID
COVID_001,COVID-19,Angola,2021,0,OWID
COVID_001,COVID-19,Angola,2022,0,OWID
COVID_001,COVID-19,Angola,2023,25,OWID
COVID_001,COVID-19,Angola,2024,0,OWID
COVID_001,COVID-19,Anguilla,2020,0,OWID
COVID_001,COVID-19,Anguilla,2021,0,OWID
COVID_001,COVID-19,Anguilla,2022,0,OWID
COVID_001,COVID-19,Anguilla,2023,0,OWID
