Entity,Code,Year,Total deaths from cardiovascular diseases among both sexes,_disease_name,_scraped_at
Afghanistan,AFG,2021,64374.38,cardiovascular_disease_death_rate,2026-06-15T20:43:10.573995
Africa,OWID_AFR,2021,1701207.6,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574005
Albania,ALB,2021,15050.28,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574016
Algeria,DZA,2021,92984.32,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574025
Andorra,AND,2021,123.94,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574034
Angola,AGO,2021,39425.12,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574043
Antigua and Barbuda,ATG,2021,148.63,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574052
Argentina,ARG,2021,112590.75,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574065
Armenia,ARM,2021,16332.25,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574074
Asia,OWID_ASI,2021,11852772,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574083
Australia,AUS,2021,43493.19,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574092
Austria,AUT,2021,31898.63,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574101
Azerbaijan,AZE,2021,22705.34,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574110
Bahamas,BHS,2021,919.15,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574118
Bahrain,BHR,2021,1699.16,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574127
Bangladesh,BGD,2021,282646.94,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574136
Barbados,BRB,2021,702.82,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574145
Belarus,BLR,2021,72406.08,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574155
Belgium,BEL,2021,25489.82,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574164
Belize,BLZ,2021,385.38,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574172
Benin,BEN,2021,14040.21,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574182
Bhutan,BTN,2021,1054.4,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574191
Bolivia,BOL,2021,12764.27,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574200
Bosnia and Herzegovina,BIH,2021,19446.81,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574209
Botswana,BWA,2021,2672.39,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574217
Brazil,BRA,2021,389462.75,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574226
Brunei,BRN,2021,548.82,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574235
Bulgaria,BGR,2021,87289.17,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574243
Burkina Faso,BFA,2021,21824.71,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574252
Burundi,BDI,2021,11486.05,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574261
Cambodia,KHM,2021,33847.15,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574270
Cameroon,CMR,2021,30292.94,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574278
Canada,CAN,2021,75034.14,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574287
Cape Verde,CPV,2021,1195.42,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574296
Central African Republic,CAF,2021,6844.72,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574305
Chad,TCD,2021,14567.23,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574313
Chile,CHL,2021,34069.99,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574322
China,CHN,2021,5022440.5,cardiovascular_disease_death_rate,2026-06-15T20:43:10.574330
